0_0_1,-5.174293774002629,-3.5711400817183407,-5.3011598422228765
0_0_2,-5.330254595269128,-6.481053309180944,-2.3766763221407397
1_1_6,-0.6032551054008349,-0.24798597038221576,-0.5699680359867823
1_2_5,-0.3051708358889542,-0.17410682566004373,-0.30789400449132776
0_0_3,-1.1096693786137442,-0.20047233146239085,-1.0962654724693859
1_2_6,-0.28509299948004263,-0.0637941124370001,-0.25711353414947524
0_0_4,-1.6118996348956391,-6.899356266085644,-7.466786352205818
1_1_4,-0.26730919293128924,-0.0968334161310334,-0.2718736695926344
0_1_3,-0.3403767802769376,-0.2063039792565229,-0.2413585485409259
0_0_5,-6.6500609553243315,-9.61880130809817,-9.499091295332354
0_1_4,-0.6458205175618064,-0.315909455445591,-0.6998795090288141
1_1_5,-0.45808426459674884,-0.09348700801082788,-0.4754546174868904
1_2_4,-0.1598502446220916,-0.20470982411443556,-0.12128732736970499
0_0_6,-9.473496811348841,-9.762304103047537,-9.798106050471958
1_0_3,-0.7816480614782462,-1.008861702119899,-1.0746237718180844
1_1_2,-1.8770268467373241,-1.117806305643955,-0.6745025922838137
0_1_5,-0.6488389899858907,-1.1034059780241692,-0.6979703751797681
1_1_3,-0.3328213419684217,-0.131311999667588,-0.30500034864679554
0_1_6,-1.723828045306631,-2.2099010764748246,-2.4256288092188063
1_0_1,-1.0631580363776234,-0.4841799230306105,-1.020912770283496
0_2_6,-0.02723155452901492,0.0,-0.042901294653186386
1_0_2,-0.4388259804913123,-0.0720190775714246,-0.388417371064025
3_2_3,-5.480674832982437,-5.640748166047154,-4.573159206355796
3_1_2,-3.9741297684498047,-5.278159909289645,-1.485751074148926
3_2_1,-3.941270379319414,-4.029095061480193,-4.30447212582657
3_1_3,-0.6567962486893968,-0.6156187152002407,-0.381697465224931
3_2_2,-6.092188948106797,-5.858471526136622,-6.147266277256802
3_0_1,-4.926856896254669,-5.251505033370075,-2.275438000200643
3_1_1,-10.088220353899018,-9.918786388982449,-7.9337138517921755
2_1_3,-1.052517758821443,-0.9444450510017752,-0.6982095013706763
2_1_4,-0.3360916723795505,-0.21862988004023015,-0.33076605326603103
2_2_3,-0.9871399310772586,-1.146864484474527,-0.91122047711565
2_2_4,-1.3967301128983964,-1.1393254851750239,-0.8780402327131258
2_2_5,-0.27700839355430507,-0.08637129530922026,-0.3001690707090114
2_0_1,-0.6537397384177897,-0.43054715321788345,-0.4900303482781456
2_0_2,-0.67522563563433,-0.36459114684419586,-0.6804587717214984
2_1_1,-0.07904234382414536,-0.0063035,-0.8228657495489394
2_1_2,-1.513607649629546,-1.2927502906988333,-0.9237621869507766
